feature_x,feature_y,feature_x_group,feature_y_group,value
A220 Centroid,bore_table_angle,Centroid,Physical Measurements,-1.288850337340303e-4
A220 Centroid,baffle 3-1,Centroid,Physical Measurements,-5.378537601762371e-5
A220 Centroid,baffle 8-3,Centroid,Physical Measurements,-8.228067785267336e-5
A220 Centroid,baffle 13-8,Centroid,Physical Measurements,-1.469284004564206e-4
E330 Centroid,facing_c0,Centroid,Physical Measurements,-1.735706494674048e-5
E330 Centroid,facing_c2,Centroid,Physical Measurements,2.934260317227574e-7
E330 Centroid,facing_c3,Centroid,Physical Measurements,-1.308671167619442e-8
E330 Centroid,facing_c4,Centroid,Physical Measurements,-6.020475423060271e-10
E330 Centroid,Tip Opening,Centroid,Physical Measurements,-2.051465127263546e-4
E330 Centroid,Facing Length,Centroid,Physical Measurements,-0.001158132702023381
E330 Centroid,baffle_height_1,Centroid,Physical Measurements,-1.938729598635229e-4
E330 Centroid,baffle_height_3,Centroid,Physical Measurements,-1.703748920868354e-4
E330 Centroid,baffle_height_5,Centroid,Physical Measurements,-2.204122473955359e-4
E330 Centroid,baffle_height_8,Centroid,Physical Measurements,-1.905216900174657e-4
E330 Centroid,baffle_height_13,Centroid,Physical Measurements,-1.663369805794235e-4
E330 Centroid,baffle_height_20,Centroid,Physical Measurements,-6.490382697346167e-5
E330 Centroid,baffle_height_30,Centroid,Physical Measurements,-6.815313827137408e-5
E330 Centroid,baffle_height_40,Centroid,Physical Measurements,-4.384189832569986e-4
E330 Centroid,baffle_height_50,Centroid,Physical Measurements,-1.702812129854829e-4
E330 Centroid,baffle_height_60,Centroid,Physical Measurements,2.787467636425048e-4
E330 Centroid,baffle_height_70,Centroid,Physical Measurements,3.129780422521548e-4
E330 Centroid,bore_table_angle,Centroid,Physical Measurements,3.53244445190957e-4
E330 Centroid,baffle 3-1,Centroid,Physical Measurements,2.349806777668713e-5
E330 Centroid,baffle 8-3,Centroid,Physical Measurements,-5.00373553087015e-5
E330 Centroid,baffle 13-8,Centroid,Physical Measurements,2.989055737807076e-5
A440 Centroid,facing_c0,Centroid,Physical Measurements,5.973948891445884e-6
A440 Centroid,facing_c2,Centroid,Physical Measurements,-6.420164714728397e-8
A440 Centroid,facing_c3,Centroid,Physical Measurements,2.429630532634152e-9
A440 Centroid,facing_c4,Centroid,Physical Measurements,6.737520291565687e-11
A440 Centroid,Tip Opening,Centroid,Physical Measurements,-2.723649643414597e-6
A440 Centroid,Facing Length,Centroid,Physical Measurements,1.819834149119954e-4
A440 Centroid,baffle_height_1,Centroid,Physical Measurements,-5.355372078207627e-6
A440 Centroid,baffle_height_3,Centroid,Physical Measurements,1.795229689531655e-5
A440 Centroid,baffle_height_5,Centroid,Physical Measurements,3.948370779934319e-5
A440 Centroid,baffle_height_8,Centroid,Physical Measurements,7.024823757739982e-5
A440 Centroid,baffle_height_13,Centroid,Physical Measurements,1.072794410266112e-4
A440 Centroid,baffle_height_20,Centroid,Physical Measurements,1.211164671924195e-4
A440 Centroid,baffle_height_30,Centroid,Physical Measurements,8.2868330280331e-5
A440 Centroid,baffle_height_40,Centroid,Physical Measurements,3.954331745670734e-5
A440 Centroid,baffle_height_50,Centroid,Physical Measurements,7.150470528280382e-5
A440 Centroid,baffle_height_60,Centroid,Physical Measurements,1.012304598280562e-5
A440 Centroid,baffle_height_70,Centroid,Physical Measurements,8.408243936738027e-7
A440 Centroid,bore_table_angle,Centroid,Physical Measurements,9.040307289631992e-5
A440 Centroid,baffle 3-1,Centroid,Physical Measurements,2.330766897352393e-5
A440 Centroid,baffle 8-3,Centroid,Physical Measurements,2.153141090402707e-5
A440 Centroid,baffle 13-8,Centroid,Physical Measurements,3.076452977805659e-5
E165 Centroid,E165 Rolloff,Centroid,Rolloff,3.847501886116645
E165 Centroid,A220 Rolloff,Centroid,Rolloff,3.486492877434413
E165 Centroid,E330 Rolloff,Centroid,Rolloff,3.104658372292544
E165 Centroid,A440 Rolloff,Centroid,Rolloff,2.402274252473885
A220 Centroid,E165 Rolloff,Centroid,Rolloff,1.80857926224866
A220 Centroid,A220 Rolloff,Centroid,Rolloff,2.573266795618022
A220 Centroid,E330 Rolloff,Centroid,Rolloff,1.323209798733127
A220 Centroid,A440 Rolloff,Centroid,Rolloff,1.689476115409305
E330 Centroid,E165 Rolloff,Centroid,Rolloff,3.868723704943722
E330 Centroid,A220 Rolloff,Centroid,Rolloff,4.261073649879251
E330 Centroid,E330 Rolloff,Centroid,Rolloff,3.845224569932425
E330 Centroid,A440 Rolloff,Centroid,Rolloff,3.034907174910659
A440 Centroid,E165 Rolloff,Centroid,Rolloff,1.301354044639388
A440 Centroid,A220 Rolloff,Centroid,Rolloff,1.912619953094905
A440 Centroid,E330 Rolloff,Centroid,Rolloff,1.093657740430023
A440 Centroid,A440 Rolloff,Centroid,Rolloff,1.968794416345463
E165 Centroid,Brightness,Centroid,Survey,8.909912010183034e-4
E165 Centroid,Resistance,Centroid,Survey,-2.977204336604808e-4
E165 Centroid,Tuning,Centroid,Survey,0.001150326920084192
E165 Centroid,Transitions,Centroid,Survey,-0.001130957853161377
E165 Centroid,Projection,Centroid,Survey,0.001392257368679474
A220 Centroid,Brightness,Centroid,Survey,4.989372088202242e-4
A220 Centroid,Resistance,Centroid,Survey,1.21968453925771e-4
A220 Centroid,Tuning,Centroid,Survey,0.001863314513729203
A220 Centroid,Transitions,Centroid,Survey,-3.879561060042113e-4
A220 Centroid,Projection,Centroid,Survey,8.293906066071587e-4
E330 Centroid,Brightness,Centroid,Survey,7.31823284644402e-4
E330 Centroid,Resistance,Centroid,Survey,2.927022195462403e-4
E330 Centroid,Tuning,Centroid,Survey,0.002174769807345454
E330 Centroid,Transitions,Centroid,Survey,0.001609293308052631
E330 Centroid,Projection,Centroid,Survey,0.001432364428332043
A440 Centroid,Brightness,Centroid,Survey,-2.750074448853334e-4
A440 Centroid,Resistance,Centroid,Survey,6.081238890361453e-4
A440 Centroid,Tuning,Centroid,Survey,2.86508337439602e-4
A440 Centroid,Transitions,Centroid,Survey,8.149082065934005e-4
A440 Centroid,Projection,Centroid,Survey,-8.241148606758672e-4
E165 Centroid,E165 Tuning Ratio,Centroid,Tuning Ratio,-0.01294393564076811
E165 Centroid,A220 Tuning Ratio,Centroid,Tuning Ratio,-1.154778410263442e-4
E165 Centroid,E330 Tuning Ratio,Centroid,Tuning Ratio,-0.01294393564076811
E165 Centroid,A440 Tuning Ratio,Centroid,Tuning Ratio,-1.154778410263442e-4
A220 Centroid,E165 Tuning Ratio,Centroid,Tuning Ratio,-0.01352468969726663
A220 Centroid,A220 Tuning Ratio,Centroid,Tuning Ratio,-0.00101389190293332
A220 Centroid,E330 Tuning Ratio,Centroid,Tuning Ratio,-0.01352468969726663
A220 Centroid,A440 Tuning Ratio,Centroid,Tuning Ratio,-0.00101389190293332
E330 Centroid,E165 Tuning Ratio,Centroid,Tuning Ratio,-0.01644092213189773
E330 Centroid,A220 Tuning Ratio,Centroid,Tuning Ratio,-0.001017029727477241
E330 Centroid,E330 Tuning Ratio,Centroid,Tuning Ratio,-0.01644092213189773
E330 Centroid,A440 Tuning Ratio,Centroid,Tuning Ratio,-0.001017029727477241
A440 Centroid,E165 Tuning Ratio,Centroid,Tuning Ratio,-0.004516353975905611
A440 Centroid,A220 Tuning Ratio,Centroid,Tuning Ratio,-0.002803413728895038
A440 Centroid,E330 Tuning Ratio,Centroid,Tuning Ratio,-0.004516353975905611
A440 Centroid,A440 Tuning Ratio,Centroid,Tuning Ratio,-0.002803413728895038
E165 Frequency Deviation,E165 Centroid,Frequency Deviation,Centroid,8.753201500099356
E165 Frequency Deviation,A220 Centroid,Frequency Deviation,Centroid,6.976200352741968
E165 Frequency Deviation,E330 Centroid,Frequency Deviation,Centroid,-2.050620803248842
E165 Frequency Deviation,A440 Centroid,Frequency Deviation,Centroid,-11.50700112573829
A220 Frequency Deviation,E165 Centroid,Frequency Deviation,Centroid,-2.350594885901085
A220 Frequency Deviation,A220 Centroid,Frequency Deviation,Centroid,-17.67863703015679
A220 Frequency Deviation,E330 Centroid,Frequency Deviation,Centroid,-8.315031108062055
A220 Frequency Deviation,A440 Centroid,Frequency Deviation,Centroid,-11.61284204723814
E330 Frequency Deviation,E165 Centroid,Frequency Deviation,Centroid,-6.825246887427545
E330 Frequency Deviation,A220 Centroid,Frequency Deviation,Centroid,-22.25198925051808
E330 Frequency Deviation,E330 Centroid,Frequency Deviation,Centroid,-10.64425191219391
E330 Frequency Deviation,A440 Centroid,Frequency Deviation,Centroid,-19.40699510050055
A440 Frequency Deviation,E165 Centroid,Frequency Deviation,Centroid,-0.7337956921396246
A440 Frequency Deviation,A220 Centroid,Frequency Deviation,Centroid,-15.8446453520054
A440 Frequency Deviation,E330 Centroid,Frequency Deviation,Centroid,-5.266938118952255
A440 Frequency Deviation,A440 Centroid,Frequency Deviation,Centroid,-13.18586221238068
E165 Frequency Deviation,E165 Frequency Deviation,Frequency Deviation,Frequency Deviation,1
E165 Frequency Deviation,A220 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.2401870923155947
E165 Frequency Deviation,E330 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.1247372620867562
E165 Frequency Deviation,A440 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.7589408675826527
A220 Frequency Deviation,E165 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.07489748501007451
A220 Frequency Deviation,A220 Frequency Deviation,Frequency Deviation,Frequency Deviation,1.000000000000001
A220 Frequency Deviation,E330 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.6379541444143179
A220 Frequency Deviation,A440 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.8276999419474557
E330 Frequency Deviation,E165 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.03603400913719674
E330 Frequency Deviation,A220 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.5910010739894974
E330 Frequency Deviation,E330 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.9999999999999996
E330 Frequency Deviation,A440 Frequency Deviation,Frequency Deviation,Frequency Deviation,0.6163246097550706
